               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.030184,              0.0149,           0.0011726,                   1,             0.66634,             0.77997,             0.59409,            0.017163,           0.0057277,          0.00039801,           0.0097491,           0.0097491,           0.0097491
                  36,            0.030192,            0.014735,           0.0011385,               0.785,             0.73333,             0.73196,             0.52061,            0.017386,           0.0055337,           0.0003791,           0.0097343,           0.0097343,           0.0097343
                  37,            0.030767,            0.014934,           0.0012117,             0.92295,                 0.8,             0.83553,             0.56405,            0.016865,            0.005498,          0.00037078,           0.0097191,           0.0097191,           0.0097191
                  38,            0.029759,            0.014761,           0.0011653,             0.74878,                 0.8,             0.79567,             0.56642,            0.016089,           0.0061337,          0.00043055,           0.0097035,           0.0097035,           0.0097035
                  39,            0.029805,             0.01466,           0.0011014,                   1,             0.59983,             0.78333,             0.57945,            0.018254,            0.006223,          0.00039752,           0.0096875,           0.0096875,           0.0096875
                  40,            0.028541,             0.01456,           0.0011114,             0.91457,             0.73333,             0.76668,             0.57655,            0.017047,            0.006261,          0.00036429,            0.009671,            0.009671,            0.009671
                  41,            0.028548,            0.014646,           0.0010412,             0.99945,             0.86667,              0.8698,             0.61213,            0.018159,           0.0046875,          0.00032352,           0.0096542,           0.0096542,           0.0096542
                  42,            0.028409,             0.01441,           0.0011167,             0.76913,             0.66667,               0.741,             0.58793,             0.01578,           0.0059802,          0.00037716,           0.0096369,           0.0096369,           0.0096369
                  43,            0.028818,             0.01438,           0.0010297,                   1,             0.79989,             0.84535,             0.61188,            0.015159,           0.0055292,           0.0003494,           0.0096193,           0.0096193,           0.0096193
                  44,            0.028267,             0.01402,           0.0011021,               0.909,             0.66667,             0.67969,             0.53899,            0.018066,            0.005983,          0.00037019,           0.0096013,           0.0096013,           0.0096013
                  45,            0.027942,            0.014138,           0.0011047,             0.85709,             0.79965,             0.81336,             0.61614,            0.015118,           0.0050874,           0.0003981,           0.0095828,           0.0095828,           0.0095828
                  46,            0.027875,            0.013483,          0.00090279,             0.92307,             0.79996,             0.82489,             0.58308,            0.017692,           0.0056994,          0.00037731,            0.009564,            0.009564,            0.009564
                  47,            0.027955,            0.013829,           0.0010783,             0.92305,             0.79975,             0.81471,             0.59287,            0.015926,           0.0055056,          0.00041315,           0.0095448,           0.0095448,           0.0095448
                  48,            0.028194,            0.013771,          0.00097572,             0.92304,                 0.8,             0.81327,             0.58721,            0.014865,           0.0053932,          0.00037487,           0.0095252,           0.0095252,           0.0095252
                  49,            0.027117,            0.013915,           0.0010165,             0.99989,                 0.8,             0.82475,             0.58485,            0.016471,           0.0055209,          0.00039101,           0.0095052,           0.0095052,           0.0095052
                  50,            0.027608,             0.01394,          0.00095725,             0.83299,             0.66517,             0.66858,             0.53975,            0.018485,           0.0056909,          0.00036874,           0.0094849,           0.0094849,           0.0094849
                  51,            0.027241,            0.013894,          0.00094796,             0.99977,                 0.8,             0.86095,             0.61531,             0.01491,           0.0048482,          0.00034972,           0.0094641,           0.0094641,           0.0094641
                  52,            0.027085,            0.014009,           0.0010689,             0.92288,                 0.8,             0.81861,             0.59179,            0.014968,           0.0048117,          0.00032568,            0.009443,            0.009443,            0.009443
                  53,            0.027362,            0.013625,          0.00096555,              0.9998,             0.73333,             0.79865,             0.58118,            0.017585,           0.0050444,          0.00036735,           0.0094215,           0.0094215,           0.0094215
                  54,            0.026598,            0.013475,          0.00091876,                   1,             0.73266,             0.76193,             0.55788,            0.015166,           0.0053206,          0.00035942,           0.0093996,           0.0093996,           0.0093996
                  55,            0.026086,            0.013797,          0.00085169,                   1,             0.79979,             0.84408,             0.63191,            0.013691,           0.0051349,          0.00033774,           0.0093773,           0.0093773,           0.0093773
                  56,            0.026191,             0.01293,          0.00086404,                   1,             0.73303,             0.82978,             0.60747,            0.016849,           0.0054009,          0.00038484,           0.0093547,           0.0093547,           0.0093547
                  57,            0.026329,            0.013338,          0.00096345,             0.86631,             0.86667,             0.85788,              0.6065,            0.014787,            0.004654,          0.00030355,           0.0093317,           0.0093317,           0.0093317
                  58,             0.02653,            0.013419,          0.00093384,                   1,             0.86665,             0.87019,             0.67253,            0.013839,           0.0045798,          0.00033164,           0.0093083,           0.0093083,           0.0093083
                  59,            0.025783,            0.013421,          0.00095136,             0.92817,             0.86667,             0.86733,             0.60546,            0.013021,           0.0053758,          0.00034558,           0.0092846,           0.0092846,           0.0092846
                  60,            0.026106,            0.013338,          0.00093167,             0.92855,             0.86641,             0.86224,             0.61419,            0.013072,           0.0049335,          0.00036064,           0.0092605,           0.0092605,           0.0092605
                  61,            0.025313,            0.013118,          0.00089168,              0.9285,             0.86585,             0.86792,              0.6445,            0.012252,           0.0040864,           0.0003236,           0.0092361,           0.0092361,           0.0092361
                  62,            0.025245,            0.013013,          0.00083789,                   1,             0.73329,              0.7932,             0.64054,            0.012414,           0.0049874,           0.0003531,           0.0092113,           0.0092113,           0.0092113
                  63,            0.026138,            0.013516,          0.00099632,                   1,             0.79982,             0.84633,             0.70453,            0.012333,           0.0041668,          0.00033349,           0.0091861,           0.0091861,           0.0091861
                  64,            0.025018,            0.013187,          0.00086329,                   1,             0.79989,             0.86373,             0.68206,            0.011448,           0.0043243,          0.00038528,           0.0091606,           0.0091606,           0.0091606
                  65,            0.024812,             0.01286,           0.0008416,             0.99994,             0.73333,              0.8305,             0.57798,            0.014486,           0.0051325,          0.00025894,           0.0091348,           0.0091348,           0.0091348
                  66,            0.025046,             0.01285,          0.00093534,             0.99983,             0.73333,             0.78485,             0.65953,             0.01272,           0.0046904,          0.00030059,           0.0091086,           0.0091086,           0.0091086
                  67,            0.025069,            0.012676,          0.00075738,             0.92838,             0.86667,             0.86396,             0.70953,            0.012192,            0.004525,            0.000322,           0.0090821,           0.0090821,           0.0090821
                  68,            0.024772,            0.012611,          0.00083208,                   1,              0.7332,              0.8401,              0.6571,             0.01353,           0.0045855,           0.0003266,           0.0090552,           0.0090552,           0.0090552
                  69,            0.025061,            0.012806,          0.00095407,             0.92288,                 0.8,             0.84132,             0.63016,            0.011281,           0.0046931,          0.00031347,            0.009028,            0.009028,            0.009028
                  70,            0.024753,            0.012387,          0.00078786,             0.99974,             0.86667,             0.87464,             0.68962,            0.012346,           0.0039809,          0.00031216,           0.0090004,           0.0090004,           0.0090004
                  71,             0.02475,            0.012727,          0.00074631,             0.85698,             0.79904,             0.85035,             0.67294,            0.014829,           0.0042649,          0.00029321,           0.0089726,           0.0089726,           0.0089726
                  72,            0.024483,            0.012733,           0.0007716,             0.99996,             0.73333,             0.88261,             0.66257,             0.01343,           0.0041492,          0.00032353,           0.0089444,           0.0089444,           0.0089444
                  73,               0.024,            0.012613,          0.00080991,                   1,             0.73324,             0.86559,             0.65672,            0.013729,           0.0038284,          0.00031389,           0.0089159,           0.0089159,           0.0089159
                  74,            0.024042,            0.012639,          0.00074159,              0.9285,             0.86667,             0.89467,              0.7045,            0.011086,           0.0040681,          0.00029974,            0.008887,            0.008887,            0.008887
                  75,            0.023964,            0.012334,          0.00068947,              0.9996,                 0.8,             0.86831,              0.6633,            0.012881,            0.003873,          0.00028511,           0.0088579,           0.0088579,           0.0088579
                  76,            0.024145,            0.012525,          0.00078839,             0.99987,                 0.8,             0.83642,             0.67232,             0.01299,           0.0041588,          0.00029807,           0.0088284,           0.0088284,           0.0088284
                  77,            0.024348,            0.012679,          0.00076905,             0.99992,             0.86667,             0.87835,             0.67874,            0.013807,           0.0040941,          0.00033263,           0.0087987,           0.0087987,           0.0087987
                  78,            0.023521,            0.012242,          0.00076108,                   1,              0.8665,             0.90199,             0.63738,            0.013183,           0.0037078,          0.00027888,           0.0087686,           0.0087686,           0.0087686
                  79,             0.02337,            0.012262,          0.00075946,             0.99995,             0.86667,             0.87732,             0.70118,            0.013613,           0.0037918,          0.00029394,           0.0087382,           0.0087382,           0.0087382
                  80,             0.02392,            0.012818,          0.00077942,                   1,              0.7999,             0.85277,             0.62829,            0.012959,           0.0041904,          0.00029454,           0.0087075,           0.0087075,           0.0087075
                  81,            0.023228,            0.012615,          0.00071125,                   1,             0.73328,             0.90013,             0.69699,            0.011865,           0.0044578,          0.00032536,           0.0086765,           0.0086765,           0.0086765
                  82,            0.023779,            0.011965,          0.00075191,             0.99985,                 0.8,             0.87637,             0.64793,            0.012968,           0.0041116,          0.00027928,           0.0086452,           0.0086452,           0.0086452
                  83,            0.023214,            0.012093,          0.00080629,             0.87216,             0.93333,             0.92632,             0.66263,            0.013327,           0.0041103,          0.00027246,           0.0086137,           0.0086137,           0.0086137
                  84,            0.023466,            0.012032,          0.00064993,             0.99999,             0.86667,             0.89176,             0.63269,            0.011052,           0.0041911,          0.00025292,           0.0085818,           0.0085818,           0.0085818
                  85,            0.023511,            0.011974,           0.0007335,             0.92849,             0.86667,             0.88471,             0.69909,             0.01102,           0.0038036,          0.00029024,           0.0085497,           0.0085497,           0.0085497
                  86,             0.02316,            0.011599,          0.00078559,             0.93134,             0.93333,             0.93074,             0.67764,            0.012595,           0.0037664,          0.00029353,           0.0085173,           0.0085173,           0.0085173
                  87,            0.023148,            0.011836,          0.00072056,                   1,             0.86662,             0.93523,             0.71966,           0.0094342,           0.0036651,          0.00026937,           0.0084846,           0.0084846,           0.0084846
                  88,            0.023067,            0.011697,            0.000632,             0.99914,             0.86667,             0.90614,             0.72115,            0.010524,           0.0037957,          0.00028301,           0.0084516,           0.0084516,           0.0084516
                  89,            0.022592,              0.0118,          0.00070913,             0.99978,             0.86667,             0.93311,               0.748,            0.010114,           0.0033424,           0.0002673,           0.0084184,           0.0084184,           0.0084184
                  90,            0.022769,            0.011762,          0.00073151,                   1,              0.7333,             0.83435,             0.68011,            0.011792,           0.0043815,          0.00028306,           0.0083849,           0.0083849,           0.0083849
                  91,            0.022312,            0.011826,          0.00067524,                   1,              0.8664,             0.92446,             0.71746,            0.010498,           0.0036292,          0.00028151,           0.0083511,           0.0083511,           0.0083511
                  92,            0.022853,            0.011852,          0.00067936,             0.99998,             0.93333,             0.94065,             0.70165,            0.011425,           0.0040859,          0.00031184,           0.0083171,           0.0083171,           0.0083171
                  93,            0.022661,            0.011713,          0.00074972,             0.99999,             0.93333,             0.94247,             0.70973,            0.012467,           0.0042584,           0.0002676,           0.0082829,           0.0082829,           0.0082829
                  94,            0.022638,            0.011656,          0.00062996,             0.93327,             0.93247,              0.9334,             0.71892,             0.01303,           0.0040191,          0.00031476,           0.0082483,           0.0082483,           0.0082483
                  95,              0.0224,            0.011493,          0.00071727,             0.92307,             0.79995,             0.82887,             0.66176,            0.013316,           0.0041855,          0.00027538,           0.0082136,           0.0082136,           0.0082136
                  96,             0.02225,            0.011727,          0.00063252,                   1,             0.93329,             0.94025,             0.67961,            0.011638,           0.0039536,          0.00026745,           0.0081786,           0.0081786,           0.0081786
                  97,            0.022228,            0.011744,          0.00062762,             0.93216,             0.93333,             0.93453,             0.67748,            0.012078,           0.0038043,          0.00030467,           0.0081433,           0.0081433,           0.0081433
                  98,            0.022131,            0.011776,          0.00081882,                   1,             0.86654,             0.92667,             0.73532,            0.010137,           0.0033887,          0.00030711,           0.0081078,           0.0081078,           0.0081078
                  99,            0.022225,            0.011614,          0.00069682,             0.99971,             0.93333,             0.93924,             0.78358,           0.0095281,           0.0038003,          0.00026615,           0.0080721,           0.0080721,           0.0080721
                 100,            0.022098,            0.011839,          0.00064142,                   1,             0.86662,             0.91252,             0.72869,           0.0091779,           0.0036899,          0.00025776,           0.0080362,           0.0080362,           0.0080362
                 101,            0.021729,            0.011365,          0.00071672,             0.92692,             0.86667,             0.89702,             0.64959,             0.01227,           0.0038772,          0.00030248,               0.008,               0.008,               0.008
                 102,            0.021633,            0.011752,          0.00074131,             0.99979,                 0.8,             0.86814,             0.66098,             0.01275,           0.0039882,          0.00026329,           0.0079636,           0.0079636,           0.0079636
                 103,            0.021653,            0.011381,          0.00063944,             0.93237,             0.93333,             0.93449,             0.74282,            0.010544,           0.0036065,          0.00024169,            0.007927,            0.007927,            0.007927
                 104,            0.022062,            0.011378,          0.00067839,                   1,             0.79995,              0.8601,             0.72314,             0.01039,            0.003897,          0.00024812,           0.0078902,           0.0078902,           0.0078902
                 105,            0.021644,            0.011533,          0.00064629,                   1,             0.93327,             0.94139,             0.70843,            0.012663,           0.0038935,          0.00025538,           0.0078532,           0.0078532,           0.0078532
                 106,            0.021621,            0.011533,          0.00063743,             0.99988,             0.93333,               0.965,             0.75262,            0.010231,           0.0040602,          0.00028182,            0.007816,            0.007816,            0.007816
                 107,            0.021607,             0.01144,          0.00064276,                   1,             0.86604,             0.93183,             0.69692,            0.011347,           0.0042263,          0.00023824,           0.0077785,           0.0077785,           0.0077785
                 108,            0.021412,            0.010902,           0.0006727,             0.93333,              0.9333,             0.92725,             0.71472,             0.01159,           0.0042066,          0.00024876,           0.0077409,           0.0077409,           0.0077409
