               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.03211,            0.020672,           0.0017015,             0.78384,             0.73333,             0.75163,             0.55955,            0.021298,           0.0084398,          0.00068881,           0.0097491,           0.0097491,           0.0097491
                  36,            0.031324,            0.020041,           0.0016825,             0.90884,             0.66667,             0.70729,             0.50549,            0.025743,           0.0088913,           0.0006248,           0.0097343,           0.0097343,           0.0097343
                  37,            0.032591,            0.019781,           0.0016352,             0.66634,                 0.8,             0.71849,             0.52031,            0.022997,           0.0084517,          0.00064409,           0.0097191,           0.0097191,           0.0097191
                  38,            0.030761,            0.019713,            0.001499,             0.92212,                 0.8,             0.76712,             0.51086,            0.023349,           0.0084588,          0.00083555,           0.0097035,           0.0097035,           0.0097035
                  39,            0.030666,            0.019783,           0.0016082,                   1,             0.73284,             0.79447,             0.55509,            0.021898,           0.0079656,          0.00061177,           0.0096875,           0.0096875,           0.0096875
                  40,            0.031935,            0.018704,           0.0015109,             0.99957,             0.53333,             0.69741,             0.51452,            0.023214,           0.0085749,          0.00083829,            0.009671,            0.009671,            0.009671
                  41,            0.030586,             0.01939,           0.0014359,             0.81231,             0.86563,             0.81789,             0.56468,            0.024715,           0.0084977,           0.0007037,           0.0096542,           0.0096542,           0.0096542
                  42,            0.030778,            0.019346,           0.0014285,             0.85637,             0.79533,             0.78076,             0.53889,            0.022137,           0.0073443,          0.00058556,           0.0096369,           0.0096369,           0.0096369
                  43,            0.030948,            0.019517,           0.0014717,             0.74803,             0.79212,             0.75175,             0.53897,            0.021832,           0.0087715,          0.00068915,           0.0096193,           0.0096193,           0.0096193
                  44,            0.030253,            0.019242,           0.0014068,             0.89999,             0.59994,             0.71335,             0.47898,            0.024224,           0.0074385,          0.00047699,           0.0096013,           0.0096013,           0.0096013
                  45,            0.029772,             0.01876,           0.0014485,              0.8993,                 0.6,             0.67672,             0.51322,            0.021712,           0.0090164,          0.00057364,           0.0095828,           0.0095828,           0.0095828
                  46,            0.029479,            0.018109,           0.0013453,             0.90908,             0.66667,             0.75876,             0.54425,            0.021792,           0.0067211,          0.00058335,            0.009564,            0.009564,            0.009564
                  47,            0.029467,            0.018689,           0.0013225,             0.85689,                 0.8,             0.79922,             0.58165,            0.019821,           0.0078208,          0.00061083,           0.0095448,           0.0095448,           0.0095448
